# English source<TAB>French Canadian translation. Authored for The Zebes Project.
Language	Langue
Restrict suit placement to keep Varia and Gravity part of progression.	Limite le placement des combinaisons Varia et de gravité pour les intégrer à la progression.
Hide items	Cacher les objets
Randomly conceal eligible visible pickups in shot blocks, as in VARIA.	Dissimule aléatoirement certains objets visibles dans des blocs destructibles au tir, comme dans VARIA.
Item split	Répartition des objets
Full mixes all items. Major and Chozo restrict major equipment locations. Scavenger defines an ordered list of mandatory pickups.	Complète mélange tous les objets. Majeurs et Chozo limitent les emplacements de l'équipement majeur. Chasse ordonnée impose une liste d'objets à ramasser dans l'ordre.
Scavenger mandatory locations	Étapes de la chasse ordonnée
Number of required locations in the scavenger route.	Nombre d'emplacements obligatoires du parcours de chasse.
Randomize scavenger items	Objets de chasse aléatoires
Randomize the items at mandatory scavenger locations.	Mélange les objets placés aux étapes obligatoires de la chasse ordonnée.
Energy quantity	Quantité d'énergie
Amount of energy tanks and reserves available in the item pool.	Quantité de réserves d'énergie et de réserves auxiliaires dans l'ensemble des objets.
Ammo pack density	Densité des munitions
Percentage of ammo locations which contain ammo. Empty locations remain collectable checks.	Pourcentage d'emplacements de munitions qui en contiennent réellement. Les emplacements vides restent des points à ramasser.
Missile weight	Poids des missiles
Relative Missile share of the ammo pool, from 1 to 9.	Proportion relative des missiles parmi les munitions, de 1 à 9.
Super Missile weight	Poids des super missiles
Relative Super Missile share of the ammo pool, from 1 to 9.	Proportion relative des super missiles parmi les munitions, de 1 à 9.
Power Bomb weight	Poids des bombes de puissance
Relative Power Bomb share of the ammo pool, from 1 to 9.	Proportion relative des bombes de puissance parmi les munitions, de 1 à 9.
Strict ammo proportions	Proportions strictes des munitions
Enforce the selected ammo ratios more strictly.	Respecte plus strictement les proportions de munitions choisies.
Remove combat items	Retirer l'équipement de combat
Challenge pool: remove nonessential combat equipment.	Défi : retire l'équipement de combat non essentiel.
Remove movement items	Retirer l'équipement de déplacement
Challenge pool: remove nonessential movement equipment.	Défi : retire l'équipement de déplacement non essentiel.
Remove suits	Retirer des combinaisons
Challenge pool: remove nonessential suits; your heat and suitless logic still applies.	Défi : retire les combinaisons non essentielles. Vos règles de résistance à la chaleur et de déplacement sans combinaison s'appliquent toujours.
Starting location	Lieu de départ
Choose where Samus begins this seed.	Choisissez où Samus commence cette seed.
Area connections	Connexions entre les régions
Shuffle entrances between areas: Off, Light or Full.	Mélange les entrées entre les régions : désactivé, léger ou complet.
Boss connections	Connexions des boss
Shuffle the entrances to the four main bosses.	Mélange les entrées des quatre boss principaux.
Door colors	Couleurs des portes
Randomize the ammo or beam required to open doors.	Change aléatoirement les munitions ou le rayon requis pour ouvrir les portes.
Allow grey doors	Autoriser les portes grises
Include locked grey doors in door color randomization.	Inclut les portes grises verrouillées dans le mélange des couleurs.
Minimizer	Monde réduit
Build a smaller world. Enables mixed area/boss routing and disables suit restrictions. Below 100 locations, uses Full item placement.	Crée un monde plus petit. Mélange les connexions des régions et des boss et désactive les contraintes des combinaisons. Sous 100 emplacements, utilise la répartition complète des objets.
Minimizer locations	Emplacements du monde réduit
Target location count. Whole regions may yield more checks. Random chooses a target from 30 to 60.	Nombre d'emplacements visé. Les régions entières peuvent ajouter des points. Le choix aléatoire vise entre 30 et 60 emplacements.
Randomize escape	Évasion aléatoire
Randomize the final escape route and timer.	Change aléatoirement le parcours et le temps de l'évasion finale.
Remove escape enemies	Retirer les ennemis de l'évasion
Remove enemies along the randomized escape route.	Retire les ennemis du parcours d'évasion aléatoire.
Animals surprise	Surprise des animaux
Randomize the surprise associated with saving the animals.	Change aléatoirement la surprise liée au sauvetage des animaux.
Finale after objectives	Finale après les objectifs
Vanilla Tourian, shortened Tourian, or return to the ship without Tourian.	Tourian classique, Tourian abrégé ou retour au vaisseau sans Tourian.
Draw random objectives	Objectifs tirés au sort
Select objectives from your eligible pool when Generate Game runs.	Choisit les objectifs parmi ceux que vous autorisez lors de la génération de la partie.
Objectives drawn	Objectifs tirés
Number of objectives selected from the eligible pool.	Nombre d'objectifs choisis parmi ceux que vous autorisez.
Objectives required	Objectifs requis
All, a fixed count, or a random count of the selected objectives.	Tous les objectifs choisis, un nombre fixe ou un nombre aléatoire.
Hidden objectives	Objectifs cachés
Hide the selected objectives until discovered in the run.	Masque les objectifs choisis jusqu'à leur découverte en jeu.
Distribute objective categories	Répartir les catégories d'objectifs
Balance random objectives across categories.	Équilibre les objectifs aléatoires entre les catégories.
Choose up to 18 goals. Mutually exclusive goals cannot be selected together.	Choisissez jusqu'à 18 objectifs. Les objectifs incompatibles ne peuvent pas être choisis ensemble.
Eligible random objectives	Objectifs aléatoires autorisés
Pool of goals from which the seed draws its objectives.	Ensemble dans lequel la seed tire ses objectifs.
Suit behavior	Protection des combinaisons
Vanilla, balanced heat protection, or progressive protection from both suits.	Protection classique, résistance à la chaleur équilibrée ou protection progressive avec les deux combinaisons.
Initial weakened Charge Beam	Rayon de charge initial affaibli
Start with a weak charge shot; the Charge pickup restores full damage.	Commencez avec un tir chargé faible. Ramassez le rayon de charge pour retrouver sa pleine puissance.
Flexible Crystal Flash	Crystal Flash assoupli
Use the relaxed round-robin ammunition requirements for Crystal Flash.	Assouplit les exigences de munitions de Crystal Flash en les consommant à tour de rôle.
Layout patches	Ajustements des salles
Choose all, none, or individual traversal and escape adjustments.	Activez tous les ajustements de déplacement et d'évasion, aucun, ou choisissez-les individuellement.
Area layout patches	Ajustements pour régions aléatoires
Choose individual room changes intended for area randomization.	Choisissez les modifications de salles prévues pour le mélange des régions.
VARIA tweaks	Ajustements VARIA
Choose individual small gameplay changes.	Choisissez individuellement les petites modifications de jouabilité.
VARIA HUD	Affichage VARIA
Area, check and objective information on the native HUD.	Région, emplacements et objectifs dans l'affichage natif du jeu.
Reveal map	Révéler la carte
Show room geometry. Exploration objectives must still count rooms actually visited.	Affiche la géométrie des salles. Les objectifs d'exploration comptent toujours les salles réellement visitées.
Short item fanfare	Fanfare d'objet courte
Shorten the interruption when collecting an item.	Raccourcit l'interruption lors de l'acquisition d'un objet.
Fast elevators	Ascenseurs rapides
Speed up elevator travel.	Accélère les déplacements en ascenseur.
Fast door transitions	Transitions de portes rapides
Speed up transitions between rooms.	Accélère les transitions entre les salles.
Respin	Reprise du saut en vrille
Restart a spin jump while airborne.	Permet de reprendre un saut en vrille en plein vol.
Speedkeep	Maintien de la vitesse
Preserve running speed through eligible transitions.	Conserve la vitesse de course pendant les transitions admissibles.
Infinite Space Jump	Saut spatial illimité
Relax the timing window for successive Space Jumps.	Assouplit le rythme requis pour enchaîner les sauts spatiaux.
Refill before saving	Recharge avant sauvegarde
Seed-specific refill at a save station. The independent local comfort option remains available in Settings.	Recharge aux stations propre à cette seed. L'option de confort locale indépendante reste disponible dans les options.
Better Reserves	Réserves améliorées
Improved native reserve energy controls and display.	Améliore les commandes et l'affichage natifs de l'énergie auxiliaire.
Race mode	Mode course
Protect seed spoilers for races; this is separate from the numeric seed.	Protège les divulgâcheurs de la seed pour les courses. Ce réglage est distinct du numéro de seed.
Random	Aléatoire
Vanilla	Classique
vanilla	classique
Balanced	Équilibrée
Progressive	Progressive
Fast	Rapide
Full	Complète
Full Countdown	Complète avec compteur
Major	Majeurs
Scavenger	Chasse ordonnée
Aqueduct	Aqueduc
Big Pink	Grande salle rose
Bubble Mountain	Montagne des bulles
Business Center	Carrefour de Norfair
Etecoons Supers	Super missiles des Etecoons
Firefleas Top	Sommet des lucioles
Gauntlet Top	Sommet du corridor d'épreuves
Golden Four	Quatre statues dorées
Green Brinstar Elevator	Ascenseur de Brinstar vert
Landing Site	Site d'atterrissage
Mama Turtle	Maman tortue
Red Brinstar Elevator	Ascenseur de Brinstar rouge
Watering Hole	Point d'eau
Wrecked Ship Main	Salle principale de l'épave
basic	de base
early	précoce
easier	plus facile
easy	facile
fast	rapide
fastest	très rapide
full	complet
hard	difficile
hardcore	extrême
harder	plus difficile
late	tardif
light	léger
mania	mania
medium	moyen
no difficulty cap	sans limite de difficulté
normal	normal
off	désactivé
slow	lent
slowest	très lent
sparse	faible
speedrun	course chronométrée
ultra sparse	très faible
very hard	très difficile
He's annoying	Il est agaçant
Quick Kill	Victoire éclair
A lot of trouble	Beaucoup de difficulté
Used to it	J'ai l'habitude
No problemo	Aucun problème
I'm scared!	Il me fait peur!
Piece of cake	Un jeu d'enfant
It can get ugly	Ça peut mal tourner
Is this really the last boss?	C'est vraiment le dernier boss?
Nice cutscene bro	Belle cinématique!
No thanks	Non merci
Gimme energy	Il me faut de l'énergie
Bring the heat	Même pas chaud
I run RBO	Je joue en ordre inversé
Solution	Solution
Aarghh	Aarghh
I don't like spikes	Je n'aime pas les pics
I don't mind spikes	Les pics ne me gênent pas
D-Boost master	Maîtrise des dégâts propulsifs
I don't like acid	Je n'aime pas l'acide
Bosses	Boss
Minibosses	Miniboss
No additional objectives	Aucun objectif supplémentaire
Items	Objets
Map	Carte
Memes	Défis insolites
Enemies	Ennemis
nothing	aucun
collect all upgrades	obtenir toutes les améliorations
tickle the red fish	chatouiller le poisson rouge
kill the orange geemer	vaincre le Geemer orange
kill shaktool	vaincre Shaktool
activate chozo robots	activer les robots Chozo
visit the animals	rendre visite aux animaux
kill king cacatac	vaincre le roi Cacatac
kill kraid	vaincre Kraid
kill phantoon	vaincre Phantoon
kill draygon	vaincre Draygon
kill ridley	vaincre Ridley
kill spore spawn	vaincre Spore Spawn
kill botwoon	vaincre Botwoon
kill crocomire	vaincre Crocomire
kill golden torizo	vaincre le Torizo doré
kill one G4	vaincre un boss principal
kill one miniboss	vaincre un miniboss
kill two G4	vaincre deux boss principaux
kill two minibosses	vaincre deux miniboss
kill three G4	vaincre trois boss principaux
kill three minibosses	vaincre trois miniboss
kill all G4	vaincre les quatre boss principaux
kill all mini bosses	vaincre les quatre miniboss
collect 25% items	obtenir 25% des objets
explore 25% map	explorer 25% de la carte
collect 50% items	obtenir 50% des objets
explore 50% map	explorer 50% de la carte
collect 75% items	obtenir 75% des objets
explore 75% map	explorer 75% de la carte
collect 100% items	obtenir 100% des objets
explore 100% map	explorer 100% de la carte
clear crateria	obtenir tous les objets de Crateria
explore crateria	explorer Crateria
clear green brinstar	obtenir tous les objets de Brinstar vert
explore green brinstar	explorer Brinstar vert
clear red brinstar	obtenir tous les objets de Brinstar rouge
explore red brinstar	explorer Brinstar rouge
clear wrecked ship	obtenir tous les objets de l'épave
explore wrecked ship	explorer l'épave
clear kraid's lair	obtenir tous les objets de l’antre de Kraid
explore kraid's lair	explorer l’antre de Kraid
clear upper norfair	obtenir tous les objets de Norfair supérieur
explore upper norfair	explorer Norfair supérieur
clear croc's lair	obtenir tous les objets de l’antre de Crocomire
explore croc's lair	explorer l’antre de Crocomire
clear lower norfair	obtenir tous les objets de Norfair inférieur
explore lower norfair	explorer Norfair inférieur
clear west maridia	obtenir tous les objets de Maridia ouest
explore west maridia	explorer Maridia ouest
clear east maridia	obtenir tous les objets de Maridia est
explore east maridia	explorer Maridia est
kill all space pirates	vaincre tous les Pirates de l'espace
kill all ki hunters	vaincre tous les Ki Hunters
kill all beetoms	vaincre tous les Beetoms
kill all cacatacs	vaincre tous les Cacatacs
kill all kagos	vaincre tous les Kagos
kill all yapping maws	vaincre tous les Yapping Maws
Rebuild the native library to enable the new-game menu.	Recompilez la bibliothèque native pour activer le menu de nouvelle partie.
Native seed activation API is unavailable.	L'activation native des seeds est indisponible.
Cannot load profile: 	Impossible de charger le profil : 
 Previous session could not be reopened; saves remain on disk.	 La session précédente n'a pas pu être rouverte; les sauvegardes sont conservées sur disque.
Profile loaded: 	Profil chargé : 
Settings were not saved: 	Les options n'ont pas été enregistrées : 
Pad: 	Manette : 
Key: 	Touche : 
F1 / Shortcut help	F1 / Aide des raccourcis
Show the gameplay shortcut overlay after resuming.	Affiche l'aide des raccourcis à la reprise du jeu.
F2 / Atmosphere	F2 / Ambiance
Enable the Gaussian presentation layer, lighting and associated effects.	Active le flou gaussien, l'éclairage et les effets associés.
F3 / Blend opacity	F3 / Opacité du mélange
Cycle the original presets: 25%, 50%, 75%, 100%.	Passe entre les préréglages d'origine : 25%, 50%, 75%, 100%.
Current: %.0f%%	Actuelle : %.0f%%
Next opacity preset	Opacité suivante
F4 / Scene brightness	F4 / Luminosité de la scène
Original F4 tool: 85%, 100%, 110%, 115%. The F4 key now opens the system menu.	Ancien outil F4 : 85%, 100%, 110%, 115%. La touche F4 ouvre maintenant le menu système.
Next brightness preset	Luminosité suivante
F5 / Background parallax	F5 / Parallaxe du décor
Offset supported background layers as the camera moves.	Décale les plans de décor compatibles selon les mouvements de la caméra.
F6 / Gaussian blend mode	F6 / Mode de mélange gaussien
Switch between Lighten and Multiply over the scene, excluding the HUD.	Passe du mode Éclaircir au mode Produit sur la scène, sans modifier l'affichage d'état.
F7 / Background depth	F7 / Profondeur du décor
Enable the layered 2.5D scenery presentation.	Active les décors en plusieurs plans pour un effet 2,5D.
F8 / Surface relief	F8 / Relief des surfaces
Enable illuminated and shaded edges on scenery.	Ajoute de la lumière et des ombres aux bords des décors.
Ctrl+F8 / Reload painted scenery	Ctrl+F8 / Recharger les décors peints
Reload the room decorations saved by the external editor. Collisions remain unchanged.	Recharge les décors de salle enregistrés dans l'éditeur externe. Les collisions restent inchangées.
Reload decorations	Recharger les décors
Reloaded painted scenery: %d tiles.	Décors peints rechargés : %d tuiles.
F9 / Engine weather	F9 / Effets météo
Enable the Unreal rain, fog, underwater and heat effects.	Active les effets Unreal de pluie, de brouillard, de milieu aquatique et de chaleur.
F10 / Teleportation	F10 / Téléportation
Open the existing destination selector. Available during gameplay, outside item messages and transitions.	Ouvre le choix des destinations. Disponible en jeu, en dehors des messages d'objets et des transitions.
Open teleport destinations	Choisir une destination
Resume gameplay to enable teleportation.	Reprenez le jeu pour activer la téléportation.
F11 / Fullscreen	F11 / Plein écran
Toggle windowed or borderless fullscreen and remember the choice.	Passe du mode fenêtre au plein écran sans bordure et mémorise votre choix.
Toggle fullscreen	Basculer le plein écran
Ctrl+F11 / Widescreen	Ctrl+F11 / Écran large
Switch between the wide view and the native game width.	Passe de l'écran large à la largeur originale du jeu.
F12 / Assisted wall jump	F12 / Saut mural assisté
Enabled: forgiving wall jumps. Disabled: original timing.	Activé : sauts muraux plus faciles. Désactivé : précision d'origine.
Shift+F12 / Assisted Space Jump	Maj+F12 / Saut spatial assisté
Enabled: forgiving repeated jumps. Disabled: original rhythm. Ctrl+F12 is also supported in gameplay.	Activé : sauts consécutifs plus faciles. Désactivé : rythme d'origine. Ctrl+F12 fonctionne aussi en jeu.
Session controls and local achievements.	Commandes de session et succès locaux.
SPEEDRUN  /  %s  /  %s	COURSE  /  %s  /  %s
NEW GAME+	NOUVELLE PARTIE+
NO QOL	SANS AIDES
In-game: %02llu:%02llu:%02llu   Real: %02llu:%02llu:%02llu	Jeu : %02llu:%02llu:%02llu   Réel : %02llu:%02llu:%02llu
Unranked: this run has incomplete history or used a debug action.	Hors classement : historique incomplet ou outil de débogage utilisé.
Apply a bundled VARIA configuration. This replaces gameplay options and applies the preset's base skill when supplied. Custom skill overrides remain separate.	Applique une configuration VARIA fournie. Remplace les options de jeu et applique le profil de maîtrise associé, s'il y en a un. Vos ajustements de maîtrise restent séparés.
Settings preset loaded: 	Configuration chargée : 
. Native compatibility is checked before generation.	. La compatibilité native est vérifiée avant la génération.
Local JSON includes every seed option, technique, tolerance and tablet quota. Imports replace this draft; generated saves remain immutable.	Le fichier JSON local comprend toutes les options, techniques, tolérances et quotas de tablettes. L'importation remplace ce brouillon; les sauvegardes déjà générées restent inchangées.
Configuration imported. Generate Game will validate all rules before publishing a seed.	Configuration importée. Générer la partie vérifiera toutes les règles avant de créer une seed.
All eight VARIA skill presets. Overrides below are preserved when changing the base preset.	Les huit profils de maîtrise VARIA. Vos ajustements ci-dessous sont conservés lorsque vous changez le profil de base.
Custom skill preset	Profil de maîtrise personnalisé
Load all techniques and tolerances from a bundled skill preset. No Advanced Techs takes precedence when enabled.	Charge les techniques et les tolérances d'un profil fourni. Sans techniques avancées a priorité lorsque cette option est activée.
No Advanced Techs	Sans techniques avancées
Disable advanced traversal and heat runs in both generation and tracker logic. Basic wall jumps and full-length shinesparks remain enabled.	Désactive les déplacements avancés et les parcours sans protection thermique dans la génération et le suivi. Les sauts muraux simples et les Shinesparks avec élan complet restent autorisés.
Reset skill overrides	Réinitialiser les ajustements de maîtrise
Return individual techniques and tolerances to the selected base preset.	Rétablit les techniques et les tolérances du profil de base choisi.
Use base preset	Utiliser le profil de base
Allowed choices	Choix autorisés
Select at least one allowed choice.	Autorisez au moins un choix.
%d selected	%d sélectionnés
Choose goals	Choisir les objectifs
finish scavenger hunt	terminer la chasse ordonnée
Conflicts with a selected objective.	Incompatible avec un objectif choisi.
Select at least one goal.	Choisissez au moins un objectif.
Reset to default	Rétablir la valeur par défaut
No Advanced Techs overrides these values during generation. Your custom choices are preserved for when you turn it off.	Sans techniques avancées remplace ces valeurs pendant la génération. Vos choix sont conservés pour la désactivation de cette option.
Allowed in logic	Autorisé dans la logique
Use preset value	Utiliser la valeur du profil
Combat tolerance used to estimate required equipment and difficulty.	Tolérance au combat utilisée pour estimer l'équipement requis et la difficulté.
Heat-run tolerance used by the solver and live tracker.	Tolérance aux parcours sans protection thermique utilisée par le solveur et le suivi en jeu.
Tolerance for damage and difficult traversal in this room.	Tolérance aux dégâts et aux déplacements difficiles dans cette salle.
Ice Beam heat run	Parcours chaud du rayon de glace
Upper Norfair heat runs	Parcours chauds de Norfair supérieur
Lower Norfair heat runs	Parcours chauds de Norfair inférieur
X-Ray room	Salle du viseur radioscopique
Folder not found. Enter a folder path or choose Home.	Dossier introuvable. Entrez un chemin ou choisissez Dossier personnel.
Compatible ROM confirmed. CRC32: D63ED5F8. SHA-1 verified.	ROM compatible confirmée. CRC32 : D63ED5F8. SHA-1 vérifié.
ROM setup	Configuration de la ROM
Set up Super Metroid	Configurer Super Metroid
Select your unmodified Japan/USA ROM. It will be verified and copied into the game's local roms folder.	Choisissez votre ROM Japon/États-Unis non modifiée. Elle sera vérifiée puis copiée dans le dossier roms local du jeu.
CRC32: D63ED5F8  |  Size: 3,145,728 bytes  |  No copier header	CRC32 : D63ED5F8  |  Taille : 3 145 728 octets  |  Sans en-tête de copieur
A different filename is fine; the file contents must match.	Le nom du fichier peut varier; son contenu doit correspondre.
Paste a ROM file path, or browse below	Collez le chemin de la ROM ou parcourez les dossiers ci-dessous
Verify selected ROM	Vérifier la ROM choisie
Hide browser	Masquer les dossiers
Browse files	Parcourir les fichiers
[Folder] 	[Dossier] 
No folders or .sfc/.smc files here.	Aucun dossier ni fichier .sfc ou .smc ici.
Confirm, copy ROM and continue	Confirmer, copier la ROM et continuer
Local copy: %s	Copie locale : %s
The local copy is checked again at every launch. Your source file is kept unchanged.	La copie locale est vérifiée à chaque démarrage. Votre fichier d'origine reste inchangé.
Wall Jump	Saut mural
Kick-jump from wall: wall to wall, single wall climb	Se propulser d'un mur à l'autre, ou grimper le long d'un seul mur.
Shinespark	Shinespark
With Speed Booster, press down to activate Shinespark. Then launch it in every possible direction, from ground or mid-air	Avec l'Accélérateur, appuyer vers le bas pour charger le Shinespark, puis le déclencher dans la direction voulue, au sol ou en plein vol.
Mid-air Morph	Morphosphère en plein vol
Activate Morph Ball while jumping straight up (keep jump pressed) to reach high places in Morph Ball form without bomb jumping	Activer la Morphosphère pendant un saut vertical en maintenant Saut, pour atteindre des endroits élevés sans sauts à la bombe.
Crouch Jump	Saut accroupi
Jump higher by crouching before jumping	S'accroupir avant de sauter pour gagner de la hauteur.
Unequip items	Déséquiper des objets
Unequip Gravity suit to have more time to morph after jumping or unequip Hi-Jump Boots to limit jump height	Retirer la combinaison de gravité pour avoir plus de temps pour se transformer après un saut, ou les bottes de saut pour limiter la hauteur.
Mockball	Mockball
Morph from running without loosing momentum to get Early Super and Ice Beam	Passer de la course à la Morphosphère sans perdre son élan pour obtenir tôt les super missiles et le rayon de glace.
Simple Short Charge	Charge courte simple
Activate SpeedBooster faster than normal by delaying run button input	Activer l'Accélérateur plus tôt en retardant l'appui sur Course.
Infinite Bomb-Jump	Sauts à la bombe infinis
To access certain locations without Hi-Jump or Space-Jump	Atteindre certains endroits sans bottes de saut ni saut spatial.
Green Gate Glitch	Faille des barrières vertes
Open gates from other side to access Screw Attack and Crocomire	Ouvrir les barrières du mauvais côté pour atteindre l'attaque en vrille et Crocomire.
Tight Short Charge	Charge courte serrée
Activate SpeedBooster really fast (3 taps or stutter 3)	Activer l'Accélérateur très rapidement avec trois appuis ou la technique « stutter 3 ».
Gravity-Jump	Saut de gravité
Super Hi-Jumps in water/lava using game's bug	Effectuer des sauts très hauts dans l'eau ou la lave grâce à une faille du jeu.
SpringBall-Jump	Saut avec la boule de saut
Do a SpringBall Jump from a jump to Access to Wrecked Ship Etank without anything else, Suitless Maridia navigation	Se transformer pendant un saut puis rebondir avec la boule de saut pour atteindre la réserve d'énergie de l'épave, ou se déplacer dans Maridia sans combinaison de gravité.
SpringBall-Jump from wall	Boule de saut après saut mural
Do a SpringBall jump after a Wall jump to exit Screw Attack area, climb Worst Room without Hi-Jump	Enchaîner saut mural et boule de saut pour sortir de la zone de l'attaque en vrille ou monter la salle Worst Room sans bottes de saut.
Get around Wall-Jump	Saut mural en contournement
Tricky Wall-Jumps where you have to get around the platform you want to Wall-Jump on using Hi-Jump boots	Avec les bottes de saut, contourner une plateforme pour prendre appui sur son côté. Demande des sauts muraux précis.
Draygon Grapple Kill	Draygon au rayon grappin
Instant kill on Draygon with electric grapple	Vaincre Draygon instantanément avec l'électricité transmise par le rayon grappin.
Draygon Spark Kill	Draygon au Shinespark
Kill Draygon using Speed Booster and shinesparks	Vaincre Draygon à l'aide de l'Accélérateur et des Shinesparks.
Microwave Draygon	Draygon au « micro-ondes »
Charge/Plasma/X-Ray glitch on Draygon	Exploiter la combinaison rayon de charge, rayon plasma et viseur radioscopique contre Draygon.
Microwave Phantoon	Phantoon au « micro-ondes »
Same as Draygon, with a few missiles to start	Comme pour Draygon, avec quelques missiles au départ.
Low Ammo Crocomire fight	Crocomire avec peu de munitions
Use drops to fight Crocomire with no charge and just 10 missiles, or 5 missiles/5 supers. With the technique disabled and no charge beam, VARIA requires 5000 damage worth of ammo.	Utiliser les munitions laissées par les ennemis pour combattre Crocomire sans rayon de charge avec seulement 10 missiles, ou 5 missiles et 5 super missiles. Sinon, VARIA exige de quoi infliger 5 000 dégâts avec les munitions.
Low Ammo/Health Botwoon fight	Botwoon avec peu de ressources
Fight Botwoon with no charge and just 3500 damage worth of ammo (Botwoon has 3000 HP). With the technique disabled, VARIA requires 6000 damage worth of ammo (if no charge beam) and 4 tanks of energy (with no suits).	Combattre Botwoon sans rayon de charge avec de quoi infliger 3 500 dégâts (il a 3 000 PV). Sinon, VARIA exige 6 000 dégâts en munitions sans rayon de charge, et 4 réserves d'énergie sans combinaison protectrice.
Low Ammo/Health Golden Torizo	Torizo doré avec peu de ressources
Fight GT with either charge beam or 5 supers and nothing else. Otherwise require either 30 supers or Charge+Plasma and 4 tanks of energy (with Varia).	Combattre le Torizo doré avec le rayon de charge ou seulement 5 super missiles. Sinon, exige 30 super missiles ou les rayons de charge et plasma, et 4 réserves d'énergie avec Varia.
Ice Zeb Skip	Contourner les Zebetites avec la glace
Skip the Zebetites with Ice beam	Passer les Zebetites grâce au rayon de glace.
Speed Zeb Skip	Contourner les Zebetites au Shinespark
Skip the Zebetites with a shinespark	Passer les Zebetites avec un Shinespark.
Mama Turtle E-Tank with High-Jump+Speed	Réserve de maman tortue : saut et vitesse
Access Mama Turtle E-Tank with High-Jump and Speed Booster (and Morph or X-Ray to turn around without moving)	Atteindre la réserve d'énergie de maman tortue avec les bottes de saut et l'Accélérateur, puis la Morphosphère ou le viseur radioscopique pour se retourner sans bouger.
Mama Turtle Wall Jump Bomb Boost	Maman tortue : saut mural et bombe
Access Mama Turtle E-Tank by accurately placing a bomb or Power Bomb in mid-air following a wall jump, then using that bomb explosion to propel Samus forward. There is a timing component where the bomb is placed while rising then hit while falling, and a momentum component for maximizing horizontal distance.	Après un saut mural, placer une bombe ou une bombe de puissance en montant, puis toucher son explosion en redescendant pour se propulser vers la réserve d'énergie. Le rythme et l'élan horizontal doivent être précis.
Various Maridia wall jumps	Sauts muraux de Maridia
Kinda tricky wall jumps to: access items in West Sand Hole without Spring Ball or Bombs, exit Spring Ball area without Hi Jump, exit Crab Hole with Gravity+Hi-Jump	Sauts muraux délicats pour atteindre les objets de la fosse de sable ouest sans boule de saut ni bombes, sortir de la zone de la boule de saut sans bottes, ou sortir du puits aux crabes avec la combinaison de gravité et les bottes de saut.
West Sand Hole Items with Morph	Fosse ouest avec la Morphosphère
Once at the top of West Sand Hole, collect items without Spring Ball or Bombs/Power Bombs by performing some wiggling (turn-around cancel with angle) and tricky Alcatraz-like wall jumps. <b>Note:</b> in Mirrortroid flavor, the wiggling to access the Reserve location is not possible, thus will not be required.	Au sommet de la fosse de sable ouest, obtenir les objets sans boule de saut ni bombes en annulant les demi-tours avec la visée et en faisant des sauts muraux de type Alcatraz. Dans la version miroir, la manœuvre vers la réserve est impossible et n'est donc pas exigée.
Mount Everest Gravity Jump	Saut de gravité du mont Everest
Access Mount Everest top door by doing a crouch+gravity jump in the last couple frames possible	Atteindre la porte supérieure du mont Everest par un saut accroupi de gravité déclenché dans les dernières images possibles.
Access Watering Hole with Gravity and Morph	Point d'eau avec gravité et Morphosphère
Wait for the Owtch to go under the sand, then do a quick run and jump into morph in the hole	Attendre que l'Owtch passe sous le sable, puis courir, sauter et se transformer rapidement pour entrer dans le trou.
Level 1	Niveau 1
Make your way underwater with Hi-Jump, and Ice for freezing crabs and fishes or Spring Ball for spring ball jumps. Access Botwoon with grapple.	Se déplacer sous l'eau avec les bottes de saut et le rayon de glace pour geler crabes et poissons, ou avec la boule de saut. Atteindre Botwoon avec le rayon grappin.
Level 2	Niveau 2
Level 1 + access Draygon's lair and do the Draygon fight (exiting Draygon are separate techniques)	Niveau 1, plus atteindre l'antre de Draygon et le combattre. Les techniques pour en sortir sont distinctes.
Level 3	Niveau 3
Level 2 and : no problem getting out of sand suitless, traverse mini-draygons area, wall jumps to access items in the left sand pit, access missile location in the right sand pit.	Niveau 2, plus sortir facilement du sable sans combinaison de gravité, traverser les petits Draygons, atteindre les objets de la fosse gauche par sauts muraux et le missile de la fosse droite.
Ceiling Damage Boost	Propulsion par dégâts au plafond
Hit an enemy at the right time to get the item in Blue Brinstar Ceiling	Toucher un ennemi au bon moment pour atteindre l'objet du plafond de Brinstar bleu.
Billy Mays access without Gravity or Space Jump	Billy Mays sans gravité ni saut spatial
Jump through the door to get on the invisible platform	Sauter en traversant la porte pour atteindre la plateforme invisible.
Alcatraz Escape	Sortie Alcatraz
Escape from Bomb area using its entrance tunnel	Sortir de la zone des bombes par son tunnel d'entrée.
Backdoor to Spore Spawn item	Objet de Spore Spawn par l'arrière
Break the Spore Spawn exit super block from Big Pink to access the item	Détruire depuis la grande salle rose le bloc à super missile de la sortie de Spore Spawn pour atteindre l'objet.
Reverse Gate Glitch	Faille de barrière inversée
Open wave gate in Pink Brinstar from bottom left corner with Hi-Jump	Ouvrir la barrière à rayon à ondes de Brinstar rose depuis le coin inférieur gauche avec les bottes de saut.
Reverse Gate Glitch w/o Hi-Jump	Barrière inversée sans bottes de saut
Open wave gate in Pink Brinstar from bottom left corner without Hi-Jump	Ouvrir la barrière à rayon à ondes de Brinstar rose depuis le coin inférieur gauche sans bottes de saut.
Mirrored Wave Gate Glitch	Faille de barrière à ondes en miroir
Open wave gate in Pink Brinstar by doing a GGG out of a wall jump	Ouvrir la barrière à ondes de Brinstar rose par la faille de barrière verte après un saut mural.
